BOOK_ID	last_name	first_name	title	Date
"72.xml.txt"	"Unknown"	"NA"	"The Davenels Or A Campaign Of Fashion In Dublin"	1829
"73.xml.txt"	"Unknown"	"NA"	"The Fair Carew Or Husbands And Wives"	1851
"74.xml.txt"	"Unknown"	"NA"	"The Midnight Assassin Or Confession Of The Monk Rinaldi Containing A Complete History Of His Diabolical Machinations And Unparalleled Ferocity Together With A Circumstantial Account Of That Scourge Of Mankind The Inquistion With The Manner Of B"	1802
"75.xml.txt"	"Anwyl"	"Edward"	"Reginald Trevor Or The Welsh Loyalists A Tale Of The Seventeenth Century"	1829
"76.xml.txt"	"Lachlan"	"Elizabeth"	"Edgar A National Tale"	1816
"77.xml.txt"	"Lachlan"	"Elizabeth"	"Leonora Or The Presentation At Court Being The First Of A Series Of Narratives Called Young Ladies Tales"	1829
"78.xml.txt"	"Unknown"	"NA"	"Cathal More Or Selflove And Selfcontrol"	1852
"79.xml.txt"	"Unknown"	"NA"	"Ring And Coronet A Story Of Circus Life"	1883
"80.xml.txt"	"Armitage"	"Robert"	"Ernest Singleton"	1848
"81.xml.txt"	"Armitt"	"Annie"	"The Garden At Monkholme A Novel"	1878
"82.xml.txt"	"Wassermann"	"Lilias"	"David Armstrong Or Before The Dawn"	1881
"83.xml.txt"	"Armstrong"	"Francis"	"Our Blue Jackets Afloat And Ashore A Novel"	1866
"84.xml.txt"	"Armstrong"	"Francis"	"The Frigate And The Lugger A Nautical Romance"	1861
"85.xml.txt"	"Armstrong"	"Francis"	"The Naval Lieutenant A Nautical Romance"	1865
"86.xml.txt"	"Armstrong"	"Francis"	"The Pirates Of The Foam A Novel"	1863
"87.xml.txt"	"Armstrong"	"Francis"	"The Warhawk A Tale Of The Sea"	1855
"88.xml.txt"	"Armstrong"	"Francis"	"The Wild Gazelle And Other Tales"	1868
"89.xml.txt"	"Armstrong"	"Francis"	"The Young Commander A Novel"	1856
"90.xml.txt"	"Arnold"	"Robert"	"Hever Court"	1867
"91.xml.txt"	"Arnold"	"Thomas"	"Dramatic Stories"	1832
"92.xml.txt"	"Ashe"	"Thomas"	"The Liberal Critic Or Memoirs Of Henry Percy Conveying A Correct Estimate Of The Manners And Principles Of The Present Times"	1812
"93.xml.txt"	"Ashe"	"Thomas"	"The Spirit Of The Book Or Memoirs Of Caroline Princess Of Hasburgh A Political And Amatory Romance"	1811
"94.xml.txt"	"Aston"	"Claude"	"They Are Only Cousins A Novel"	1855
"95.xml.txt"	"Austen"	"Jane"	"Emma A Novel"	1816
"96.xml.txt"	"Austen"	"Jane"	"Lady Susan"	1794
"97.xml.txt"	"Austen"	"Jane"	"Mansfield Park A Novel"	1814
"98.xml.txt"	"Austen"	"Jane"	"Pride And Prejudice"	1813
"99.xml.txt"	"Austen"	"Jane"	"Sanditon"	1817
