,verb,coeff_percentage,coeff_count_number,coeff_NSC
0,accept,0.2413899631326272,0.44030102212737277,-0.0545
1,added,0.8078243221572713,1.0450537959240582,-0.0085
2,addressed,0.6544733687226931,1.1271482464719853,0.0352
3,advanced,0.565881267097609,1.0760486711495352,0.0179
4,allowed,0.4435225545204606,0.7302347308186385,0.0
5,answer,0.403410333152195,0.6884594545782914,-0.0106
6,answered,0.597771449911855,0.8958292829192555,-0.0864
7,anxious,0.5042421839282442,0.7879773933892791,0.0
8,appear,0.3737818318203696,0.6547874140069923,-0.0128
9,appeared,0.6036145548704159,1.0565581490060327,-0.0097
10,approached,0.59733555845988,1.0888945491594502,0.0195
11,arrived,0.724433981927497,1.2583992094861658,0.06
12,ask,0.552513897579987,0.8984190887666932,0.0
13,asked,0.7780569862247517,1.1122506419806624,-0.0123
14,be,0.6658884340688058,1.067376139799538,-0.0048
15,bear,0.44185949780166645,0.6616138694744487,-0.0393
16,became,0.6145132357670061,0.971627730886578,-0.006999999999999999
17,become,0.48689489623049187,0.8333942539659329,-0.0224
18,been,0.5625016846467892,0.9111239478461796,0.0
19,began,0.7584436129926413,1.0005756148613296,0.0
20,beheld,0.6770619086313983,1.0152443471918309,0.0
21,believe,0.44062981087750436,0.7845357489485602,-0.0174
22,believed,0.6115527474313907,0.9040282792385778,0.0
23,bent,0.45765393482777517,0.7738478961582016,0.0
24,bore,0.39667872140391447,0.7466118471143595,0.0
25,bowed,0.578663795380308,1.1026321158947157,0.0586
26,bring,0.5324967751172729,0.9667488732035037,0.0153
27,broke,0.4024180031175308,0.7068139603089254,-0.0004
28,brought,0.6674264434294052,1.1205536941144614,0.0325
29,burst,0.21938092026876577,0.3815970628728775,-0.0893
30,call,0.6359301265642324,1.0930091185410336,0.0598
31,called,0.8176004166585065,1.2819391819683283,0.0789
32,came,0.9535287624039255,1.4312102947362604,0.0719
33,care,0.5478154200397656,0.835236053641757,-0.0011
34,cared,0.5151698838462944,0.807067884920335,0.0
35,carried,0.5713608311098894,1.0428874325366229,0.0184
36,cast,0.43916537931437727,0.7787841571998773,-0.0197
37,caught,0.5802978499569329,0.8852048795746014,0.0
38,ceased,0.36802094602448,0.7052678045909357,-0.0068
39,chose,0.5270839528980107,0.8011875962172863,0.0121
40,closed,0.3732742636337292,0.6627884798779327,-0.0185
41,come,0.9816302237265734,1.4330603492439875,0.0895
42,comes,0.6650946305572976,1.2739674118984463,0.0627
43,coming,0.5135558749923221,0.9669953437414407,0.021
44,concluded,0.4813380567885905,0.808963668850506,0.0
45,considered,0.6302386782978056,0.9451235507056293,0.006
46,continued,0.7920003467398646,1.1957819429242031,0.0
47,could,0.6500085307684922,0.9181125289029718,0.0
48,cried,0.5303044610009124,0.7597536728334393,-0.1141
49,dared,0.4795586201816322,0.7047960603789745,-0.0051
50,declared,0.5352242573263031,0.9128095518867927,0.0
51,desired,0.6009296095214115,0.9012387387387382,0.0
52,determined,0.6571456066791066,0.887929883881301,0.0117
53,did,0.8664628572068702,1.1838994387697401,0.0062
54,die,0.430350821068088,0.7560660445082554,0.0
55,died,0.46936377703220755,0.9182642175342905,-0.0062
56,discovered,0.5434450954722694,0.8844861660079053,0.0153
57,do,0.9503273563821684,1.2135922111288908,0.0719
58,does,0.6676059534411556,1.0854111572849772,0.0164
59,doing,0.5091168322593882,0.8113321799307958,0.0
60,drew,0.7158119940521087,1.0560437505842768,0.0145
61,dropped,0.3954380461492584,0.7298159969958695,-0.0122
62,endeavoured,0.502038522315025,0.7557012967655384,-0.0096
63,enter,0.4200723931925064,0.7841673983026048,0.0056
64,entered,0.8009013508063645,1.0996299553623285,0.044000000000000004
65,exclaimed,0.6164639955753611,0.898239707884378,-0.0694
66,expected,0.55728786359496,0.7839116719242902,0.0
67,expressed,0.5043991407227398,0.8374507353647983,0.0
68,face,0.270285965038898,0.47678429291589275,-0.0541
69,fallen,0.3852870849711245,0.7455758630693359,0.0
70,fancied,0.5215872791477121,0.7265695870136073,-0.0079
71,feared,0.4364906281694163,0.6806864696383641,-0.0484
72,feel,0.5759665460836524,0.7719794344473007,-0.0259
