verb,coeff,rsquared,tvalue
accept,0.2413899631326272,0.17268723266083108,26.356449792635125
added,0.8078243221572713,0.750945248679731,100.1724694278891
addressed,0.6544733687226931,0.3190930969252691,39.491760520089386
advanced,0.565881267097609,0.25924996931865696,34.128340929727514
allowed,0.4435225545204606,0.267148921739471,34.8305639305166
answer,0.403410333152195,0.2558705236863613,33.8280943936474
answered,0.597771449911855,0.6949485757003946,87.07259039859044
anxious,0.5042421839282442,0.29623697852373077,37.428125046750246
appear,0.3737818318203696,0.24090968907638244,32.49915493567939
appeared,0.6036145548704159,0.5033860701005832,58.08082905062387
approached,0.59733555845988,0.2808549288652272,36.051590521943794
arrived,0.724433981927497,0.305757929566532,38.284683336480626
ask,0.552513897579987,0.3357132373209031,41.01078597619417
asked,0.7780569862247517,0.743902261452746,98.32109950876682
be,0.6658884340688058,0.545013490209016,63.13875656512772
bear,0.44185949780166645,0.3631706260404195,43.56477471891743
became,0.6145132357670061,0.5045192532505263,58.21261906258822
become,0.48689489623049187,0.377564670956282,44.93039290848814
been,0.5625016846467892,0.3896482037028577,46.09330874830483
began,0.7584436129926413,0.6499644117479614,78.61046169868348
beheld,0.6770619086313983,0.5314463079057377,61.438651334304595
believe,0.44062981087750436,0.30415168345865307,38.139893908602296
believed,0.6115527474313907,0.47276993655311494,54.628151049317474
bent,0.45765393482777517,0.29979678361213746,37.747925801685305
bore,0.39667872140391447,0.20362918922357376,29.171180738908223
bowed,0.578663795380308,0.18667523269968422,27.637770786488687
bring,0.5324967751172729,0.2764694997930971,35.66045256629504
broke,0.4024180031175308,0.2557145776044486,33.81424115965622
brought,0.6674264434294052,0.3874735246409433,45.88283487078047
burst,0.21938092026876577,0.20882653571087106,29.63798298621274
call,0.6359301265642324,0.2566775605211541,33.899788494611805
called,0.8176004166585065,0.4929058842355045,56.87604309690193
came,0.9535287624039255,0.7054338800758309,89.27470394047292
care,0.5478154200397656,0.3764961293544149,44.82830723236609
cared,0.5151698838462944,0.3327762154738787,40.74103318215115
carried,0.5713608311098894,0.29185509778531926,37.03516074616833
cast,0.43916537931437727,0.320010135483926,39.57512597040841
caught,0.5802978499569329,0.3948190112039047,46.595936931195276
ceased,0.36802094602448,0.2132871784850272,30.037647697680665
chose,0.5270839528980107,0.2596701478607921,34.165677771433636
closed,0.3732742636337292,0.2535916303810144,33.62566379935733
come,0.9816302237265734,0.6523891226938259,79.03115621189988
comes,0.6650946305572976,0.29348805626751673,37.181518353811676
coming,0.5135558749923221,0.2074219723498859,29.511958018147705
concluded,0.4813380567885905,0.26240760881103264,34.40896873758754
considered,0.6302386782978056,0.38832387426817117,45.965071478486834
continued,0.7920003467398646,0.6697134296064473,82.14681034589944
could,0.6500085307684922,0.4920297922487591,56.7764504570678
cried,0.5303044610009124,0.6318311897289202,75.57335315059541
dared,0.4795586201816322,0.3236567814728879,39.90712528220539
declared,0.5352242573263031,0.32902200291474226,40.39708147794961
desired,0.6009296095214115,0.39659407979716543,46.769205126431785
determined,0.6571456066791066,0.41442137751187746,48.53109908869896
did,0.8664628572068702,0.7518552403439567,100.41676363810157
die,0.430350821068088,0.2039727039869983,29.202074552197452
died,0.46936377703220755,0.31251225966427865,38.89490448981743
discovered,0.5434450954722694,0.2845164250767994,36.37855934678021
do,0.9503273563821684,0.7329507808445885,95.57260167290961
does,0.6676059534411556,0.4317336123030252,50.28328070485052
doing,0.5091168322593882,0.28598439084310623,36.509759377985084
drew,0.7158119940521087,0.49586558168089545,57.213756966023425
dropped,0.3954380461492584,0.24606291411956505,32.956963197212765
endeavoured,0.502038522315025,0.4215746282861358,49.24988542763315
enter,0.4200723931925064,0.1961563716900615,28.497520966517907
entered,0.8009013508063645,0.5173793172769587,59.73009777596766
exclaimed,0.6164639955753611,0.6549402503066166,79.47771051576763
expected,0.55728786359496,0.36981970558797295,44.19308033350083
expressed,0.5043991407227398,0.32958462199426986,40.44856744514809
face,0.270285965038898,0.18799778799027977,27.758079950337706
fallen,0.3852870849711245,0.20449392693842938,29.248938982605313
fancied,0.5215872791477121,0.37782492671826295,44.95527497110921
feared,0.4364906281694163,0.3713805194297245,44.34118555865711
feel,0.5759665460836524,0.5297919934403355,61.23494670569798
fell,0.5717617905299877,0.4171339656951033,48.80283619022976
felt,0.6801423725197587,0.7348622016885481,96.0414682568544
find,0.8376231692333538,0.5315180573699785,61.44750344436302
finished,0.45392591663662135,0.2181585645708365,30.473227290672487
follow,0.41532336845955287,0.16469921970978252,25.616275540679162
followed,0.5466050388976387,0.28035842158556734,36.00728185128171
forget,0.41188607387306997,0.24497204619462398,32.86006424336402
forgot,0.4044052623998836,0.22113172669514292,30.73867764994915
forgotten,0.456388450534586,0.2475107320653993,33.085562372388736
found,0.9371738361383737,0.6558130635184359,79.63142713404352
free,0.3808913069209924,0.19244076704814272,28.161319836419796
gained,0.5331490142785302,0.22222537652178942,30.836252949288987
gave,0.7246159992060122,0.6483966291932599,78.34035189802157
gazed,0.5478514460215187,0.4555978551600509,52.77431202206904
get,0.8711500010730646,0.5240003843897608,60.527698491389536
give,0.7510959717920374,0.5497340953030974,63.743141650542896
given,0.5937586796621905,0.44686330478468883,51.85167258234119
glanced,0.5236942430935663,0.38931428238143106,46.060955786845305
go,0.7771166416733613,0.6929609485497021,86.66609556253874
goes,0.624126327031187,0.34573397403469075,41.935855125192326
going,0.8055831635502712,0.5381313605858519,62.26967117817782
gone,0.6567202287886856,0.4714984843745007,54.488981570983164
got,0.9762364802465427,0.63490266834987,76.07481510908909
