"","id","0-score","1-score","av-rank-in-CV","prop-selected-in-CV"
"118","approached","-0.0195","0.0195","118.2","1"
"119","like","0.0193","-0.0193","119.5","1"
"120","talk","-0.0187","0.0187","121.3","1"
"121","seemed","0.0186","-0.0186","122.8","1"
"122","closed","0.0185","-0.0185","122","1"
"123","remembered","0.0185","-0.0185","123.3","1"
"124","carried","-0.0184","0.0184","123.7","1"
"125","speak","0.0184","-0.0184","123.2","1"
"126","advanced","-0.0179","0.0179","124.4","1"
"127","takes","-0.0177","0.0177","126.1","1"
"128","believe","0.0174","-0.0174","127.9","1"
"129","spent","-0.0166","0.0166","131.7","1"
"130","lived","0.0165","-0.0165","131.1","1"
"131","does","-0.0164","0.0164","132.1","1"
"132","grew","0.016","-0.016","134.3","1"
"133","stand","-0.0158","0.0158","135.6","1"
"134","sees","-0.0158","0.0158","134","1"
"135","bring","-0.0153","0.0153","138.6","1"
"136","gazed","0.0153","-0.0153","138.4","1"
"137","discovered","-0.0153","0.0153","138.5","1"
"138","hesitated","0.0151","-0.0151","138.9","1"
"139","leave","-0.015","0.015","140.1","1"
"140","turned","0.0145","-0.0145","142.7","1"
"141","drew","-0.0145","0.0145","143.1","1"
"142","say","-0.0145","0.0145","143.9","1"
"143","promised","-0.0144","0.0144","142.8","1"
"144","started","0.0144","-0.0144","141.9","1"
"145","married","0.0142","-0.0142","142","1"
"146","laughed","0.0135","-0.0135","148.3","1"
"147","wanted","-0.0131","0.0131","149.2","1"
"148","shook","-0.0131","0.0131","150.6","1"
"149","remained","0.0128","-0.0128","150.5","1"
"150","appear","0.0128","-0.0128","152.2","1"
"151","glanced","0.0128","-0.0128","152.5","1"
"152","saw","0.0125","-0.0125","151.9","1"
"153","wish","0.0125","-0.0125","153.1","1"
"154","used","-0.0124","0.0124","152.4","1"
"155","asked","0.0123","-0.0123","153","1"
"156","dropped","0.0122","-0.0122","155.1","1"
"157","repeated","0.0121","-0.0121","155.9","1"
"158","chose","-0.0121","0.0121","153.7","1"
"159","determined","-0.0117","0.0117","157.2","1"
"160","retired","0.0112","-0.0112","160.4","1"
"161","follow","-0.011","0.011","160","1"
"162","were","-0.0108","0.0108","162.8","1"
"163","wait","-0.0107","0.0107","162.1","1"
"164","answer","0.0106","-0.0106","164","1"
"165","resolved","-0.0101","0.0101","166.3","1"
"166","help","0.0098","-0.0098","167.4","1"
"167","known","0.0097","-0.0097","167.7","1"
"168","appeared","0.0097","-0.0097","167.5","1"
"169","endeavoured","0.0096","-0.0096","168.4","1"
"170","quitted","-0.0094","0.0094","169.7","1"
"171","go","0.0093","-0.0093","169.8","1"
"172","is","0.0092","-0.0092","169.5","1"
"173","lost","-0.0091","0.0091","171.6","1"
"174","makes","-0.0087","0.0087","173.9","1"
"175","added","0.0085","-0.0085","173.9","1"
"176","watched","0.0085","-0.0085","174.5","1"
"177","played","0.0085","-0.0085","174.5","1"
"178","seems","-0.0085","0.0085","175.2","1"
"179","fancied","0.0079","-0.0079","177.2","1"
"180","became","0.007","-0.007","181.4","1"
"181","hath","-0.0069","0.0069","181.4","1"
"182","laid","0.0069","-0.0069","182","1"
"183","ceased","0.0068","-0.0068","182.8","1"
"184","died","0.0062","-0.0062","185.3","1"
"185","did","-0.0062","0.0062","183.4","1"
"186","considered","-0.006","0.006","186","1"
"187","enter","-0.0056","0.0056","187.1","1"
"188","tell","0.0055","-0.0055","188.7","1"
"189","write","-0.0055","0.0055","187.7","1"
"190","spoken","-0.0052","0.0052","189.1","1"
"191","dared","0.0051","-0.0051","190.5","1"
"192","will","-0.0049","0.0049","190.2","1"
"193","be","0.0048","-0.0048","191.4","1"
"194","observed","-0.0046","0.0046","192","1"
"195","given","0.0045","-0.0045","192.6","1"
"196","thinking","0.0043","-0.0043","193.5","1"
"197","forget","0.004","-0.004","194.4","1"
"198","meet","0.0034","-0.0034","196.9","1"
"199","seen","-0.0029","0.0029","199.2","0.9"
"200","wished","0.0029","-0.0029","199","0.7"
"201","rushed","-0.0025","0.0025","200.1","0.9"
"202","hurried","0.0021","-0.0021","202.4","1"
"203","stood","0.0013","-0.0013","206.7","0.7"
"204","care","0.0011","-0.0011","206.2","0.8"
"205","let","0.001","-0.001","207.2","0.7"
"206","think","9e-04","-9e-04","207.4","0.6"
"207","placed","-9e-04","9e-04","207.4","0.7"
"208","ready","6e-04","-6e-04","208.8","0.7"
"209","broke","4e-04","-4e-04","209.4","0.6"
"210","told","-4e-04","4e-04","210.7","0.5"
"211","learned","2e-04","-2e-04","209.8","0.8"
"212","pleased","2e-04","-2e-04","210.1","0.5"
