verb,coeff,rsquared,tvalue
accept,0.44030102212737277,0.24541163184121995,32.89911211065323
added,1.0450537959240582,0.6370271263339193,76.42466381803489
addressed,1.1271482464719853,0.35398080368628115,42.70304093035148
advanced,1.0760486711495352,0.3113134655759988,38.78643073365363
allowed,0.7302347308186385,0.3683870731592531,44.05734733357929
answer,0.6884594545782914,0.3703390165600009,44.242331102204375
answered,0.8958292829192555,0.7652661684950091,104.16218273043539
anxious,0.7879773933892791,0.3737997718305056,44.57122434081755
appear,0.6547874140069923,0.3003156430780153,37.794582649526674
appeared,1.0565581490060327,0.530978161255889,61.38092882536641
approached,1.0888945491594502,0.3301786855095683,40.50295358740431
arrived,1.2583992094861658,0.33580458055751194,41.01918513283294
ask,0.8984190887666932,0.466096929727311,53.90121697259849
asked,1.1122506419806624,0.766976043288755,104.66037153554271
be,1.067376139799538,0.5752888182014462,67.14099570635402
bear,0.6616138694744487,0.44408835667621616,51.561253521828235
became,0.971627730886578,0.48171757125966475,55.61662875136377
become,0.8333942539659329,0.43426783202887165,50.54346972864228
been,0.9111239478461796,0.4844672160740525,55.92367607375317
began,1.0005756148613296,0.5479642194194272,63.51573866788731
beheld,1.0152443471918309,0.453656914832119,52.56815090680828
believe,0.7845357489485602,0.42772014190653296,49.873205157047146
believed,0.9040282792385778,0.5199924038572326,60.04351432925536
bent,0.7738478961582016,0.4062221286829749,47.71571582011157
bore,0.7466118471143595,0.2769434019066205,35.7026969343323
bowed,1.1026321158947157,0.27555604672100653,35.579040814325836
bring,0.9667488732035037,0.38430608772169916,45.57722308730399
broke,0.7068139603089254,0.3209965410196943,39.66485232931572
brought,1.1205536941144614,0.4586980076956023,53.104982853154034
burst,0.3815970628728775,0.2639750064715457,34.54830797196321
call,1.0930091185410336,0.3426332995531085,41.64880957548468
called,1.2819391819683283,0.5257082143856318,60.73530808475323
came,1.4312102947362604,0.6839440595226696,84.86331077567951
care,0.835236053641757,0.49578546829810444,57.204589886212766
cared,0.807067884920335,0.42521648200870277,49.6186050681474
carried,1.0428874325366229,0.3337992459618667,40.83492614967332
cast,0.7787841571998773,0.34683276529496765,42.03775576845096
caught,0.8852048795746014,0.4183882963370039,48.928832594005684
ceased,0.7052678045909357,0.33435693248312126,40.88614064591067
chose,0.8011875962172863,0.3446568356874975,41.83605450354745
closed,0.6627884798779327,0.3166114465015899,39.266402557937106
come,1.4330603492439875,0.6806518723818715,84.22131023815864
comes,1.2739674118984463,0.3815830049269524,45.3153629276832
coming,0.9669953437414407,0.34015613621074625,41.42001220518052
concluded,0.808963668850506,0.28539607875745476,36.457170741346246
considered,0.9451235507056293,0.41670094875090335,48.75939052149906
continued,1.1957819429242031,0.5861534110598242,68.65586088039684
could,0.9181125289029718,0.46047366155162794,53.295155109359406
cried,0.7597536728334393,0.6028069474314273,71.0689602256056
dared,0.7047960603789745,0.35093214820034635,42.41878126990475
declared,0.9128095518867927,0.4290378102511545,50.007571874571624
desired,0.9012387387387382,0.4091450563647573,48.005376044013246
determined,0.887929883881301,0.38612712980723396,45.7527915366249
did,1.1838994387697401,0.6591960657237939,80.23182339197987
die,0.7560660445082554,0.24597311280267342,32.94898656696283
died,0.9182642175342905,0.38785008715807845,45.91924190004635
discovered,0.8844861660079053,0.32450857367449926,39.98479060653976
do,1.2135922111288908,0.6420894865390068,77.26845177211268
does,1.0854111572849772,0.4911309202666073,56.67444370173596
doing,0.8113321799307958,0.3697514341871202,44.18660752164554
drew,1.0560437505842768,0.5027080948059588,58.002124752830035
dropped,0.7298159969958695,0.3380758884903998,41.22822687522896
endeavoured,0.7557012967655384,0.43068857628161894,50.176271417140704
enter,0.7841673983026048,0.2776396067325356,35.764767507172735
entered,1.0996299553623285,0.4529186654815488,52.48990895666493
exclaimed,0.898239707884378,0.5984362538978896,70.42443284550573
expected,0.7839116719242902,0.3859327915701536,45.73403776369536
expressed,0.8374507353647983,0.38975750876105153,46.10390184957696
face,0.47678429291589275,0.2498390477361564,33.2923605729786
fallen,0.7455758630693359,0.2616234254626151,34.339266769687804
fancied,0.7265695870136073,0.3874460710341675,45.88018120727348
feared,0.6806864696383641,0.4182698131624174,48.91692172972272
feel,0.7719794344473007,0.515151998587875,59.464332536532936
fell,1.0006432522835458,0.4029303798023097,47.3908150873344
felt,0.8195471291446331,0.5590518811215472,64.9567022404266
find,1.152843457405726,0.5117152854487794,59.05671545139487
finished,0.7299707043688698,0.27182989647420364,35.247137003529694
follow,0.810148355192432,0.23023146559809027,31.549604586615597
followed,1.0137721755368814,0.36674823476523744,43.90231993814368
forget,0.7243703773054957,0.3552518768517129,42.82178888537863
forgot,0.6645355032451808,0.2948333690507008,37.302170249430695
forgotten,0.7556724761591584,0.3451899052903019,41.88543394298695
found,1.0968528891233664,0.4683385082888416,54.1444554529733
free,0.6767322728498246,0.26697021687277966,34.814667816908084
gained,0.8210187235755987,0.23631524242950974,32.09079416262867
gave,1.0438243026977596,0.59627785124966,70.10915127352901
gazed,0.9711101398601396,0.4546183514717552,52.67018939723849
get,1.2616724794676868,0.4974174688400611,57.391619603013154
give,1.1088872142677717,0.5756899149536632,67.19613476485759
given,0.9664687626501149,0.5421272509220194,62.772565663069166
glanced,0.8001418439716312,0.4383625641571378,50.96597820500384
go,1.0136201193022543,0.6214730722757587,73.91871811592641
goes,1.0196384325961274,0.3879199666007729,45.92599977395766
going,1.12733272790064,0.5741545738058553,66.98538837281016
gone,1.0587478164935185,0.5545895279802118,64.37204103321938
got,1.3688638441521919,0.548950780586178,63.64237738472005
